က	ka̰
သတ္တမ	θaʔtəma̰
သတ္တဝါ	θaʔtəwà
သတ္တသိန္ဓု	θaʔta̰θèɪɴdṵ
သတ္တိ	θaʔtḭ
သတ္တု	θaʔtṵ
သတ္တုစပ်	θaʔtṵzaʔ
သတ္တုတွင်း	θaʔtṵdwɪ́ɴ
သတ္တုဗေဒ	θaʔtṵbèda̰
သတ္တုရိုင်း	θaʔtṵjáɪɴ
သတ္ထန္တရကပ်	θaʔtʰàɴtəɹa̰kaʔ
သတ်	θaʔ
သတ်ဖြတ်	θaʔpʰjaʔ
သဒ္ဒဗေဒ	θaʔda̰bèda̰
သဒ္ဒါ	ðədà
သဒ္ဒါဆယ်ပါး	ðədàsʰɛ̀bá
သဒ္ဒါရုံ	θaʔdàjòʊɴ
သဒ္ဓါ	θàddà
သဒ္ဓါကြေး	θədàtɕé
သနပ်	θənaʔ
သနပ်ခါး	θənəkʰá
သနားတော်မူ	θənádɔ̀mù
သန့်ရှင်း	θa̰ɴʃɪ́ɴ
သန့်ရှင်းရေးသမား	θa̰ɴʃɪ́ɴjéðəmá
သန္တာ	θàɴdà
သန္ဓေ	θàɴdè
သန္ဓေဗေဒ	θàɴdèbèda̰
သန္ဓေသား	ðədèðá
သန်ကောင်	θàɴgàʊɴ
သန်တူ	θàɴtù
သန်လျက်	θàɴjɛʔ
သန်လျင်	θəɲɪ̀ɴ
သန်လျင်း	θàɴləjɪ́ɴ
သန်လျင်းချိတ်	θàɴjɪ́ɴdʑeɪʔ
သန်း	θáɴ
သန်းခေါင်	ðəgàʊɴ
သန်းခေါင်ယံ	ðəgàʊɴjàɴ
သပိတ်	ðəbeɪʔ
သပ်	θaʔ
သပြု	ðəbjṵ
သပြေ	ðəbjè
သပြေတိုင်	ðəbjèdàɪɴ
သဘက်ခါ	θəbɛʔkʰà
သဘင်	θəbɪ̀ɴ
သဘာပတိ	θəbàpətḭ
သဘာဝ	ðəbàwa̰
သဘာဝတ္ထဗေဒ	θəbàwʊʔtʰa̰bèda̰
သဘော	ðəbɔ́
သဘောတူ	ðəbɔ́tù
သမ	θəma̰
သမက်	θəmɛʔ
သမဂ္ဂ	θa̰mɛʔga̰
သမင်	θəmɪ̀ɴ
သမင်မ	θəmɪ̀ɴma̰
သမတ	θəməda̰
သမယ	θəməja̰
သမဝါယမ	θəma̰wàjəma̰
သမာသမတ်	θəmàθəmaʔ
သမား	θəmá
သမိန်	θəmèɪɴ
သမိုင်း	θəmáɪɴ
သမိုင်းမတိုင်မီခေတ်	θəmáɪɴmətàɪɴmìkʰɪʔ
သမီး	θəmí
သမီးတော်	θa̰mítɔ̀
သမုဒ္ဒရာ	θəmoʊʔdəjà
သမ္ဗန္ဓ	θàɴbàɴda̰
သမ္မတ	θəməda̰
သမ္မတကတော်	θəma̰da̰gədɔ̀
သမ္မတနိုင်ငံ	θəməda̰nàɪɴŋàɴ
သမ္မာကျမ်း	θəmàtɕáɴ
သမ်း	θáɴ
သယောင်း	θəjáʊɴ
သယံဇာတ	θəjàɴzàta̰
သယ်	θɛ̀
သယ်ရင်း	θɛ̀jɪ́ɴ
သရ	θəɹa̰
သရက်	θəjɛʔ
သရက်ရွက်	θəjɛʔjwɛʔ
သရက်သီးပူတင်း	θəjɛʔθípùdɪ́ɴ
သရက်သီးသနပ်	θəjɛʔθíθa̰naʔ
သရဏဂုံသုံးပါး	θəɹənəgòʊɴθóʊɴbá
သရဏင်္ကရာ	θəɹənɪ̀ɴkəɹà
သရဏင်္ကရာဘုရား	θəɹənɪ̀ɴkəɹàpʰəjá
သရဖီ	θəɹəpʰì
သရဖူ	θəɹəpʰù
သရီရ	θəɹìɹa̰
သရုပ်	θəjoʊʔ
သရုပ်ဆောင်	θəjoʊʔsʰàʊɴ
သရုပ်ဖော်	θəjoʊʔpʰɔ̀
သရော	θəjɔ́
သရော်	θəjɔ̀
သရော်စာ	θəjɔ̀zà
သရဲ	θəjɛ́
သလား	θa̰lá
သလိပ်	θəleɪʔ
သလုံး	θəlóʊɴ
သလဲသီး	θəlɛ́θí
သလွဲ	θəlwɛ́
သဝဏ်လွှာ	θəwʊ̀ɴl̥wà
သာဂူ	θàgù
သာဂူပူတင်း	θàgùpùdɪ́ɴ
သာဂူပြင်	θàgùbjɪ̀ɴ
သာဓက	θàda̰ka̰
သာဓု	θàdṵ
သာမဏေ	θàmənè
သာမိုမီတာ	θàmòmìtà
သာယာ	θàjà
သာယာဝတီ	θàjàwədì
သာရကာ	θàɹəkà
သာရိပုတ္တရာ	θàjḭpoʊʔtəjà
သာလိကာ	θàlḭkà
သာဝက	θàwəka̰
သာဝတ္ထိ	θàwʊʔtʰḭ
သာသနာ	θàðənà
သာသနာ့အာဇာနည်	θàθəna̰ʔàzànì
သား	θá
သားကြီး	θádʑí
သားတော်	θátɔ̀
သားပိုက်ကောင်	θábaɪʔkàʊɴ
သားပျက်	θápjɛʔ
သားမြီးယပ်	θámjíjaʔ
သားရေ	θəjè
သားလောင်း	θáláʊɴ
သားလျှော	θáʃɔ́
သားလှောင်	θál̥àʊɴ
သားသတ်ရုံ	θáðaʔjòʊɴ
သားသတ်သမား	θáθaʔðəmá
သားအိမ်	θəʔèɪɴ
သားအိမ်ခေါင်း	θəʔèɪɴgáʊɴ
သားအိမ်လမ်းကြောင်း	θəʔèɪɴláɴdʑáʊɴ
သားဥ	θáʔṵ
သားဥအိမ်	θáʔṵʔèɪɴ
သိ	θḭ
သိကြား	ðədʑá
သိခီဘုရား	θḭkʰìpʰəjá
သိင်္ဂီ	θèɪɴgì
သိထိလ	θḭtʰḭla̰
သိဒ္ဓတ္ထ	θeɪʔdaʔtʰa̰
သိဒ္ဓတ္ထဘုရား	θìddaʔtʰa̰pʰəjá
သိဒ္ဓတ်မင်း	θeɪʔdaʔmɪ́ɴ
သိဒ္ဓိ	θeɪʔdḭ
သိန္ဓု	θèɪɴdṵ
သိန်	θèɪɴ
သိန်း	θéɪɴ
သိပ္ပံ	θeɪʔpàɴ
သိပ္ပံဘွဲ့	θeɪʔpàɴbwɛ̰
သိပ်	θeɪʔ
သိမ်	θèɪɴ
သိရှိ	θḭʃḭ
သိဝ	θḭwa̰
သိဟ်	θèɪɴ
သိုက်	θaɪʔ
သို့ပေမဲ့	ðo̰bèmɛ̰
သို့မဟုတ်	ðo̰məhoʊʔ
သို့ရာတွင်	ðo̰jàdwɪ̀ɴ
သို့သော်	ðo̰ðɔ̀
သိုး	θó
သိုးကလေး	θókʰəlé
သိုးဆောင်း	θósʰáʊɴ
သိုးထိန်း	θódéɪɴ
သိုးထီး	θódí
သိုးမ	θóma̰
သိုးမွေး	θómwé
သိုးအုပ်	θóʔoʊʔ
သီချင်း	θətɕʰɪ́ɴ
သီဂိရိယ	θìgḭɹḭja̰
သီတဂူ	θìdəgù
သီတင်း	ðədɪ́ɴ
သီတင်းကျွတ်	ðədɪ́ɴdʑʊʔ
သီတင်းသီလ	ðədɪ́ɴθìla̰
သီတာ	θìdà
သီတာဒေဝီ	θìdàdèwì
သီရိ	θìɹḭ
သီရိလင်္ကာ	θìɹḭlɪ̀ɴkà
သီလ	θìla̰
သီလရှင်	θìla̰ʃɪ̀ɴ
သီဟ	θìha̰
သီဟသူ	θìha̰θù
သီဟိုဠ်	θìhò
သီဟိုဠ်စေ့	θìhòzḭ
သီဟိုဠ်သရက်	θìhòθəjɛʔ
သီအိုရီ	θìʔòɹì
သီး	θí
သီးစုံချဉ်ရည်	θízòʊɴtɕʰɪ̀ɴjì
သီးပင်	θíbɪ̀ɴ
သီးမွှေး	θím̥wé
သီးသီး	θíðí
သု	θṵ
သုက်	θoʊʔ
သုက်ကောင်	θoʊʔkàʊɴ
သုက်ပိုး	θoʊʔpó
သုက်ရည်	θoʊʔjè
သုခ	θṵkʰa̰
သုခေါဒယ	θṵkʰɔ́dəja̰
သုဂတိ	θṵgədḭ
သုဇာတဘုရား	θṵzàta̰pʰəjá
သုည	θùɲɲa̰
သုတ	θṵta̰
သုတေသန	θṵtèθəna̰
သုတေသီ	θṵtèθì
သုတ်	θoʊʔ
သုတ်သင်	θoʊʔθɪ̀ɴ
သုဒ္ဒ	θoʊʔda̰
သုဒ္ဒကိန်း	θoʊʔda̰kéɪɴ
သုဒ္ဒကြိယာ	θoʊʔda̰kəɹḭjà
သုဒ္ဓေါဒန	θùddɔ́dəna̰
သုဓမ္မပူရ	θṵdəma̰pùɹa̰
သုဓမ္မသိင်္ဂီ	θṵdàɴma̰θèɪɴgì
သုဓာ	θoʊʔdà
သုန္ဒြေ	θòʊɴdɹè
သုပ်	θoʊʔ
သုဘူတိ	θṵbùtḭ
သုမန	θṵməna̰
သုမနဘုရား	θṵməna̰pʰəjá
သုမေဓာ	θṵmèdà
သုမေဓာဘုရား	θṵmèdàpʰəjá
သုဝဏ္ဏ	θṵwʊ̀ɴna̰
သုဝဏ္ဏဘူမိ	θṵwʊ̀ɴna̰bùmḭ
သုသာန်	θoʊʔθàɴ
သုံး	θóʊɴ
သုံးစွဲ	θóʊɴswɛ́
သုံးစွဲသူ	θóʊɴswɛ́ðù
သုံးဆယ်	θóʊɴsʰɛ̀
သုံးဆောင်	θóʊɴsʰàʊɴ
သုံးပွင့်ဆိုင်	θóʊɴbwɪ̰ɴsʰàɪɴ
သုံးလ	θóʊɴla̰
သူ	θù
သူကောင်	θùgàʊɴ
သူကောင်တင်	θùgàʊɴdɪ̀ɴ
သူကောင်း	θùgáʊɴ
သူကောင်းပြု	θùgáʊɴpjṵ
သူကောင်းမြှောက်	θùgáʊɴm̥jaʊʔ
သူကောင်းသား	θùgáʊɴðá
သူကျက်	θùdʑɛʔ
သူကြီး	θùdʑí
သူကြွယ်	θùtɕwɛ̀
သူခိုး	θəkʰó
သူငယ်	θəŋɛ̀
သူငယ်ချင်း	θəŋɛ̀dʑɪ́ɴ
သူငယ်စာ	θùŋɛ̀zà
သူငယ်တန်း	θùŋɛ̀dáɴ
သူငယ်မ	θəŋɛ̀ma̰
သူစိမ်း	ðəzéɪɴ
သူစိမ်းတစ်ရံဆံ	ðəzéɪɴtəjàɴzàɴ
သူဆင်းရဲ	θùsʰɪ́ɴjɛ́
သူဇာ	θùzà
သူဌေး	θətʰé
သူတကာ	θùdəgà
သူတစ်ခွန်းငါတစ်ခွန်း	θùtəkʰʊ́ɴŋàtəkʰʊ́ɴ
သူတစ်ထူး	θùtətʰú
သူတစ်ပါး	θùdəbá
သူတစ်ပြန်ငါတစ်ပြန်	θùdəbjàɴŋàdəbjàɴ
သူတစ်လူငါတစ်မင်း	θùtəlùŋàtəmɪ́ɴ
သူတို့	θùdo̰
သူတောင်းစား	ðədáʊɴzá
သူတော်	θùdɔ̀
သူတော်ကောင်း	θùdɔ̀gáʊɴ
သူတော်စင်	θùdɔ̀zɪ̀ɴ
သူတော်သူမြတ်	θùdɔ̀θùmjaʔ
သူနာ	θùnà
သူနာတင်ကား	θùnàdɪ̀ɴká
သူနာတင်ယာဉ်	θùnàtɪ̀ɴjɪ̀ɴ
သူနာပြု	θùnàbjṵ
သူနိုင်ငါညှဉ်းလုပ်	θùnàɪɴŋàɲ̊ɪ́ɴloʊʔ
သူပုန်	ðəbòʊɴ
သူပုန်ထ	ðəbòʊɴtʰa̰
သူပုန်သူကန်	ðəbəðùgàɴ
သူပြောငါပြော	θùpjɔ́ŋàpjɔ́
သူဖုန်းစား	θùpʰóʊɴsá
သူမ	θùma̰
သူမသာကိုယ်မသာ	θùməθàkòjməθà
သူမသာငါမသာ	θùməθàŋàməθà
သူမိုက်	θùmaɪʔ
သူများ	θùmjá
သူများနည်းတူ	θùmjánítù
သူယုတ်မာ	θùjoʊʔmà
သူယောင်	θùjàʊɴ
သူယောင်မယ်	θùjàʊɴmɛ̀
သူရ	θùja̰
သူရကန်	θùɹəkàɴ
သူရင်းငှား	θəjɪ́ɴŋ̊á
သူရင်းတိုင်	θəjɪ́ɴdàɪɴ
သူရသတ္တိ	θùja̰θaʔtḭ
သူရိန်	θùjèɪɴ
သူရိယ	θùɹḭja̰
သူရိယမာသ	θùɹḭja̰màθa̰
သူရဲ	θəjɛ́
သူရဲကောင်း	θùjɛ́gáʊɴ
သူရဲကြီး	θùjɛ́dʑí
သူရဲကြီးအလံ	θùjɛ́dʑíʔəlàɴ
သူရဲခို	θəjɛ́kʰò
သူရဲပြေး	θəjɛ́pjé
သူရဲဘောကြောင်	θəjɛ́bɔ́dʑàʊɴ
သူရဲဘောနည်း	θəjɛ́bɔ́ní
သူရဿတီ	θùɹa̰θətì
သူလိုငါလို	θùlòŋàlò
သူလျှို	ðəʃò
သူသူငါငါ	θùθùŋàŋà
သူသေ	θùθè
သူဟောင်းစကား	θùháʊɴzəgá
သူအို	θùʔò
သူ့	θṵ
သေ	θè
သေခြင်း	θèdʑɪ́ɴ
သေတ္တာ	θɪʔtà
သေနတ်	θənaʔ
သေနာပတိ	θènàpətḭ
သော	θɔ́
သောက္ကတဲ	θaʊʔkətɛ́
သောက်	θaʊʔ
သောက်တော်ခွက်	θaʊʔdɔ̀kʰwɛʔ
သောကြာ	θaʊʔtɕà
သောကြာဂြိုဟ်	θaʊʔtɕàdʑò
သောင်း	θáʊɴ
သောင်းသောင်း	θáʊɴðáʊɴ
သောတ	θɔ́ta̰
သောတရှင်	θɔ́ta̰ʃɪ̀ɴ
သောဘိတ	θɔ́bḭta̰
သောဘိတဘုရား	θɔ́bḭta̰pʰəjá
သောမနဿ	θɔ́mənaʔθa̰
သောသော	θɔ́ðɔ́
သော့	θɔ̰
သော့တံ	θɔ̰dàɴ
သော်	ðɔ̀
သော်တာ	θɔ̀dà
သေး	θé
သေးပေါက်	θépaʊʔ
သဲ	θɛ́
သဲကန္တာရ	θégàɴdàja̰
သဲကျောက်	θɛ́dʑaʊʔ
သဲနာရီ	θɛ́nàjì
သဲ့သဲ့	θɛ̰ðɛ̰
သံ	θàɴ
သံကြိုး	θàɴdʑó
သံကြိုးစာ	θàɴdʑózà
သံကြွပ်	θàɴdʑʊʔ
သံခေတ်	θàɴkʰɪʔ
သံချပ်	θədʑaʔ
သံချေး	θàɴdʑí
သံခွာ	θàɴkʰwà
သံဃာ	θàɴgà
သံစုံတီးဝိုင်း	θàɴzòʊɴtíwáɪɴ
သံတမန်	θàɴtəmàɴ
သံတော်ဆင့်	θàɴdɔ̀zɪ̰ɴ
သံတွဲ	θàɴdwɛ́
သံပန်း	θàɴbáɴ
သံပရာ	θàɴbəjà
သံပရို	θàɴba̰jò
သံပေါက်	θàɴbaʊʔ
သံပြိုင်	θàɴbjàɪɴ
သံဖြူ	θàɴbjù
သံမဏိ	θàɴmənḭ
သံယောဇဉ်	θàɴjɔ́zɪ̀ɴ
သံရုံး	θàɴjóʊɴ
သံလမ်း	θàɴláɴ
သံလမ်းရထား	θàɴláɴjətʰá
သံလိုက်	θàɴlaɪʔ
သံလိုက်စက်ကွင်း	θàɴlaɪʔsɛʔkwɪ́ɴ
သံလွင်	θàɴlwɪ̀ɴ
သံဝါသ	θàɴwàθa̰
သံဝေဂ	θàɴwèga̰
သံသယ	θàɴθəja̰
သံအမတ်	θàɴʔəmaʔ
သံ့သံ့	θa̰ɴða̰ɴ
သျှင်	ʃɪ̀ɴ
သျှမ်း	ʃáɴ
သျှောင်	jàʊɴ
သွင်သွင်	θwɪ̀ɴðwɪ̀ɴ
သွင်း	θwɪ́ɴ
သွင်းကုန်	θwɪ́ɴgòʊɴ
သွတ်	θʊʔ
သွတ်သွတ်	θʊʔθʊʔ
သွန်	θʊ̀ɴ
သွန်းသွန်း	θʊ́ɴðʊ́ɴ
သွပ်	θʊʔ
သွား	θwá
သွားကြားထိုးတံ	θwádʑátʰódàɴ
သွားတိုက်ဆေး	θwádaɪʔsʰé
သွားပွတ်တံ	ðəbʊʔtàɴ
သွားဖုံး	θəpʰóʊɴ
သွားရည်	θəjì
သွေ	θwè
သွေ့	θwḛ
သွေး	θwé
သွေးကင်ဆာ	θwékɪ̀ɴsʰà
သွေးကြော	θwédʑɔ́
သွေးကြောမျှင်	θwédʑɔ́m̥jɪ̀ɴ
သွေးတိုးရောဂါ	θwétójɔ́gà
သွေးပေါင်	θwépàʊɴ
သွေးပေါ်	θwépɔ̀
သွေးအုပ်စု	θwéʔoʊʔsṵ
ဟ	ha̰
ဟင့်အင်း	hɪ̰ɴʔɪ́ɴ
ဟင်း	hɪ́ɴ
ဟင်းခါး	hɪ́ɴgá
ဟင်းရည်	hɪ́ɴjè
ဟင်းသီးဟင်းရွက်	hɪ́ɴðíhɪ́ɴjwɛʔ
ဟင်္သာ	hɪ́ɴθà
ဟင်္သာတ	hɪ̀ɴθəta̰
ဟင်္သာတာရာ	hɪ̀ɴθàtàjà
ဟစ်တလာ	hɪʔtəlà
ဟတ်ဇ်	haʔ
ဟထိုး	ha̰tʰó
ဟနူမာန်	hənùmàn
ဟန်ဂေရီ	hàɴgèɹì
ဟန်နီ	hàɴnì
ဟန်လင်း	hàɴlɪ́ɴ
ဟမ်ဘာဂါ	hàɴbàgà
ဟယ်လီကော့ပတာ	hɛ̀lìkɔ̰pətà
ဟယ်လ်ဆင်ကီ	hɛ̀lsʰɪ̀ɴkì
ဟရိဘုဉ္ဇ	həɹḭbòʊɴza̰
ဟလဝါ	ha̰ləwà
ဟာနွိုင်း	hànwáɪɴ
ဟာဗားနား	hàbáná
ဟာသ	hàθa̰
ဟားခါး	hákʰá
ဟိတ်	heɪʔ
ဟိန္ဒီ	hèɪɴdì
ဟိန္ဒူ	hèɪɴdù
ဟိမဝန္တာ	hḭma̰wʊ̀ɴtà
ဟိမာလယ	hḭmàləja̰
ဟို	hò
ဟိုက်ဒရိုဂျင်	haɪʔdəɹòdʑɪ̀ɴ
ဟိုင်းအီနာ	háɪɴʔìnà
ဟိုတယ်	hòtɛ̀
ဟိုမှာ	hòm̥à
ဟိုဟာ	hòhà
ဟီ	hì
ဟီနယာန	hìna̰jàna̰
ဟီလီယမ်	hìlìjàɴ
ဟုတ်	hoʊʔ
ဟုတ်ကဲ့	hoʊʔkɛ̰
ဟုတ်တာပေါ့	hoʊʔtàpɔ̰
ဟုတ်လား	hoʊʔlá
ဟူ	hù
ဟူးရား	hújá
ဟူးဟူး	húhú
ဟေတီ	hètì
ဟေတုပစ္စယော	hètṵpɪʔsa̰jɔ́
ဟေမန္တ	hèmàɴta̰
ဟေမန်	hèmàɴ
ဟေမာ	hèmà
ဟော	hɔ́
ဟောက်	haʊʔ
ဟောင်	hàʊɴ
ဟောင်ကောင်	hàʊɴkàʊɴ
ဟောင်း	háʊɴ
ဟော်	hɔ̀
ဟော်ကီ	hɔ̀kì
ဟော်တယ်	hɔ̀tɛ̀
ဟော်လန်	hɔ̀làɴ
ဟဲလို	hɛ́lò
ဟံသာဝတီ	hàɴθàwədì
ဟွန်ဒူးရပ်စ်	hʊ̀ɴdúɹaʔs
ဟွန်း	hʊ́ɴ
ဠ	la̰
ဠကြီး	la̰tɕí
အ	ʔa̰
အက	ʔəka̰
အကယ်၍	ʔəkɛ̀jwḛ
အကာ	ʔəkà
အကိတ်	ʔəkeɪʔ
အကို	ʔəkò
အကိုင်း	ʔəkáɪɴ
အကုန်	ʔəkòʊɴ
အကုသိုလ်	ʔa̰kṵðò
အကူ	ʔəkù
အကောက်	ʔəkaʊʔ
အကောက်ခွန်	ʔəkaʊʔkʰʊ̀ɴ
အကောက်ဆိပ်	ʔəkaʊʔsʰeɪʔ
အကောင့်	ʔəka̰ʊɴ
အကောင်	ʔəkàʊɴ
အကော်ဒီယံ	ʔəkɔ̀dìjàɴ
အက္ခရာ	ʔɛʔkʰəjà
အက္ခရာသင်္ချာ	ʔɛʔkʰa̰jàθɪ̀ɴtɕʰà
အက်	ʔɛʔ
အက်စစ်	ʔɛʔsɪʔ
အက်စတိုးနီးယား	ʔɛʔsətóníjá
အက်တမ်	ʔɛʔtàɴ
အက်ရှ်ဂါဘတ်	ʔɛʔʃgàbaʔ
အကျဉ်း	ʔətɕɪ́ɴ
အကျဉ်းထောင်	ʔətɕɪ́ɴdàʊɴ
အကျဉ်းသား	ʔətɕɪ́ɴðá
အကျည်း	ʔətɕí
အကျည်းတန်	ʔətɕítàɴ
အကျပ်အတည်း	ʔətɕaʔʔəté
အကျယ်	ʔətɕɛ̀
အကျိတ်	ʔətɕeɪʔ
အကျိုး	ʔətɕó
အကျိုးကျေးဇူး	ʔətɕótɕézú
အကျော်	ʔətɕɔ̀
အကျော်ဇေယျ	ʔətɕɔ̀zèja̰
အကြမ်းဖက်ဝါဒ	ʔətɕáɴpʰɛʔwàda̰
အကြမ်းဖက်သမား	ʔətɕáɴpʰɛʔθəmá
အကြမ်းရည်	ʔətɕáɴjì
အကြောက်	ʔətɕaʊʔ
အကြောင်း	ʔətɕáʊɴ
အကြောမျှင်	ʔətɕɔ́m̥jɪ̀ɴ
အကြော်	ʔa̰tɕɔ̀
အကြေး	ʔətɕé
အကြံ	ʔətɕàɴ
အကြံပေးချက်	ʔətɕàɴpédʑɛʔ
အကြွေး	ʔətɕwé
အကြွေးဝယ်ကတ်ပြား	ʔətɕwéwɛ̀kaʔpjá
အကွ	ʔəkwa̰
အကွာအဝေး	ʔəkwàʔəwé
အခန်း	ʔəkʰáɴ
အခမဲ့	ʔəkʰa̰mɛ̰
အခါတစ်ပါး	ʔəkʰàdəbá
အခိုး	ʔəkʰó
အခု	ʔəkʰṵ
အခုံး	ʔəkʰóʊɴ
အခေါက်	ʔəkʰaʊʔ
အချက်	ʔətɕʰɛʔ
အချင်း	ʔətɕʰɪ́ɴ
အချင်းဝက်	ʔətɕʰɪ́ɴwɛʔ
အချစ်	ʔətɕʰɪʔ
အချဉ်တည်	ʔətɕʰɪ̀ɴtɛ̀
အချဉ်ဖောက်	ʔətɕʰɪ̀ɴpʰaʊʔ
အချပ်	ʔətɕʰaʔ
အချိတ်	ʔətɕʰeɪʔ
အချိန်	ʔətɕʰèɪɴ
အချိန်စာရင်း	ʔətɕʰèɪɴsəjɪ́ɴ
အချို	ʔətɕʰò
အချိုပွဲ	ʔətɕʰòbwɛ́
အချိုမှုန့်	ʔətɕʰòm̥o̰ʊɴ
အချို့	ʔətɕʰo̰
အချိုး	ʔətɕʰó
အချို‌ခြောက်	ʔətɕʰòdʑaʊʔ
အချုပ်ခန်း	ʔətɕʰoʊʔkʰáɴ
အချုပ်အခြာအာဏာ	ʔətɕʰoʊʔʔətɕʰàʔànà
အချွဲ	ʔətɕʰwɛ́
အခြင်း	ʔətɕʰɪ́ɴ
အခြား	ʔətɕʰá
အခြေ	ʔətɕʰè
အခြောက်	ʔətɕʰaʊʔ
အခွင့်	ʔəkʰwɪ̰ɴ
အခွင့်ထူးခံ	ʔəkʰwɪ̰ɴtʰúgàɴ
အခွင့်အရေး	ʔəkʰwɪ̰ɴʔəjé
အခွန်	ʔəkʰʊ̀ɴ
အခွန်ထမ်း	ʔəkʰʊ̀ɴdáɴ
အခွေ	ʔəkʰwè
အခွံ	ʔəkʰʊ̀ɴ
အခွံမာသီး	ʔəkʰʊ̀ɴmàðí
အဂတိ	ʔa̰gədḭ
အဂ္ဂမဟာပဏ္ဍိတ	ʔɛʔga̰məhàpàɴdḭta̰
အဂ္ဂမဟာသေနာပတိ	ʔɛʔga̰məhàθènàpətḭ
အဂ္ဂမဟေသီ	ʔɛʔga̰məhèθì
အငတ်	ʔəŋaʔ
အင်ကြင်း	ʔɪ̀ɴdʑɪ́ɴ
အင်ဂိုလာ	ʔɪ̀ɴgòlà
အင်ဂျင်	ʔɪ̀ɴdʑɪ̀ɴ
အင်ဂျင်နီယာ	ʔɪ̀ɴdʑɪ̀ɴnìjà
အင်တာနက်	ʔɪ̀ɴtànɛʔ
အင်တာဗျူး	ʔɪ̀ɴtəbjú
အင်ဒိုချိုင်းနား	ʔɪ̀ɴdòtɕʰáɪɴná
အင်ဒိုနီးရှား	ʔɪ̀ɴdòníʃá
အင်ဒိုရာ	ʔɪ̀ɴdòɹà
အင်ပါယာ	ʔɪ̀ɴpàjà
အင်း	ʔɪ́ɴ
အင်းကျီ	ʔɪ́ɴdʑì
အင်းစိန်	ʔɪ́ɴsèɪɴ
အင်းဆက်	ʔɪ́ɴsʰɛʔ
အင်းလေး	ʔɪ́ɴlé
အင်းလျား	ʔɪ́ɴjá
အင်းဝ	ʔəwa̰
အင်းဝ	ʔɪ́ɴwa̰
အင်းသား	ʔɪ́ɴðá
အင်္ကျီ	ʔɪ́ɴdʑì
အင်္ကျီတို	ʔéɪɴdʑìtò
အင်္ကျီရှည်	ʔéɪɴdʑìʃè
အင်္ဂတေ	ʔɪ̀ɴgədè
အင်္ဂလန်	ʔɪ̀ɴgəlàɴ
အင်္ဂလိပ်	ʔɪ̀ɴgəleɪʔ
အင်္ဂါ	ʔɪ̀ɴgà
အင်္ဂါဂြိုဟ်	ʔɪ̀ɴgàdʑò
အင်္ဂါဇာတ်	ʔɪ̀ɴgàzaʔ
အငြိမ့်	ʔəɲḛɪɴ
အငြိမ့်တီးမျိုး	ʔa̰ɲḛɪɴtímjó
အငွေ့	ʔa̰ŋwḛ
အစ	ʔəsa̰
အစက်	ʔəsɛʔ
အစဉ်	ʔəsɪ̀ɴ
အစဉ်ထာဝရ	ʔəsətʰəɹa̰
အစည်းအရုံး	ʔəsíʔəjóʊɴ
အစည်းအဝေး	ʔəsíʔəwé
အစပ်	ʔəsaʔ
အစမ်း	ʔəsáɴ
အစာ	ʔəsà
အစာပြွန်	ʔəsàpjʊ̀ɴ
အစား	ʔəsá
အစားလက္ခဏာ	ʔəsálɛʔkʰənà
အစားအစာ	ʔəsáʔəsà
အစိမ်း	ʔəséɪɴ
အစိမ်းမှုန့်	ʔəsèɪɴtɪ̀ɴm̥o̰ʊɴ
အစိုးရ	ʔəsója̰
အစီရင်	ʔəsìjɪ̀ɴ
အစီရင်ခံ	ʔəsìjɪ̀ɴkʰàɴ
အစီရင်ခံစာ	ʔəsìjɪ̀ɴkʰàɴzà
အစီအစဉ်	ʔəsìʔəsɪ̀ɴ
အစီအလျဉ်	ʔəsìʔəljɪ̀ɴ
အစု	ʔəsṵ
အစုရှင်	ʔəsṵʃɪ̀ɴ
အစုံအစုံ	ʔəsòʊɴʔəsòʊɴ
အစေအပါး	ʔəsèʔəpá
အစောင့်	ʔəsa̰ʊɴ
အစေ့	ʔəsḭ
အစ္စရေး	ʔɪʔzəɹé
အစ္စလမ်	ʔɪʔsəlàɴ
အစ္စလာမာဘတ်	ʔɪʔsəlàmàbaʔ
အစ်	ʔɪʔ
အစ်ကို	ʔəkò
အစ်မ	ʔəma̰
အစွန်း	ʔəsʊ́ɴ
အဆင့်	ʔəsʰɪ̰ɴ
အဆင်ပြေ	ʔəsʰɪ̀ɴpjè
အဆန်	ʔəsʰàɴ
အဆိပ်	ʔəsʰeɪʔ
အဆိုတော်	ʔəsʰòdɔ̀
အဆီ	ʔəsʰì
အဆီဓာတ်	ʔəsʰìdaʔ
အဆီးအတား	ʔəsʰíʔətá
အဆုတ်	ʔəsʰoʊʔ
အဆုတ်ရောင်ရောဂါ	ʔa̰sʰoʊʔjàʊɴjɔ́gà
အဆုံး	ʔəsʰóʊɴ
အဆောက်အအုံ	ʔəsʰaʊʔʔəʔú
အဆောက်အဦ	ʔəsʰaʊʔʔəʔù
အဆောင်	ʔəsʰàʊɴ
အဆွေး	ʔəsʰwé
အဇာဘိုင်ဂျန်	ʔa̰zəbàɪɴdʑàɴ
အဉ္ဇလီ	ʔɪ̀ɴzəlì
အညစ်အကြေး	ʔəɲɪʔʔətɕé
အညစ်အထည်း	ʔəɲɪʔʔətʰí
အညမည	ʔɪ̀ɴɲa̰mɪ̀ɴɲa̰
အညာဒေသ	ʔəɲàdèθa̰
အညာသား	ʔəɲàðá
အညို	ʔəɲò
