+	tasɯ
慣用	kaɴjoɯ
慣用句	kaɴjoɯ
慣用句	kaɴjoɯkɯ
慣用名	kaɴjoɯmei
慣用名と紛らわしい	kanɪoː meː to magiravaɕiː
慣用名の他に	kanɪoː meː no ho ka ni
慣用暗号システム	kaɴjoɯaɴgoɯɕisɯtemɯ
慣用暗号方式	kaɴjoɯaɴgoɯhoɯɕiki
慣用法	kaɴjoɯhoɯ
慣用表現	kaɴjoɯçjoɯgeɴ
慣用語	kaɴjoɯgo
慣用語句	kaɴjoɯgokɯ
慣用語法	kaɴjoɯgohoɯ
慣用読み	kaɴjoɯjmi
慣用読み	kaɴjoɯjomi
慣用音	kaɴjoɯoɴ
慣習	kaɴ
慣習	kaɴɕɯɯ
慣習	kaɴ˥ʂɯ̟ᵝ
慣習と	kanɕuː to
慣習に従う	kaɴɕɯɯniɕitagaɯ
慣習国際法	kaɴɕɯɯkokɯsaihoɯ
慣習法	kaɴɕɯɯhoɯ
慣行	kaɴkoɯ
慣行取引き	kaɴkoɯtoɾiçiki
慣行犯	kaɴkoɯhaɴ
慥か	taɕika
慥かに	taɕikani
慥かめる	taɕikameɾɯ
慧	e
慧敏	keibiɴ
慧日	enitɕi
慧眼	egeɴ
慧眼	keigaɴ
慨	gai
慨する	gaisɯɾɯ
慨世	gaisei
慨世憂国	gaiseijɯɯkokɯ
慨嘆	gaitaɴ
慨歎	gaitaɴ
慨然	gaizeɴ
慫慂	ɕoɯjoɯ
慮	rjo
慮り	omoɴbakaɾi
慮り	omoɴpakaɾi
慮る	omoɴbakaɾɯ
慮る	omoɴpakaɾɯ
慮外	ɾjogai
慰	i
慰	nagusameru
慰	nagusamu
慰み	nagɯsami
慰み半分	nagɯsamihaɴbɯɴ
慰み物	nagɯsamimono
慰み者	nagɯsamimono
慰む	nagɯsamɯ
慰め	nagɯsame
慰める	nagɯsameɾɯ
慰め顔	nagɯsamegao
慰労	iɾoɯ
慰労会	iɾoɯkai
慰労金	iɾoɯkiɴ
慰問	imoɴ
慰問品	imoɴçiɴ
慰問袋	imoɴbɯkɯɾo
慰安	iaɴ
慰安	i˥˩
慰安会	iaɴkai
慰安婦	iaɴɸɯ
慰安所	iaɴdʑo
慰安旅行	iaɴɾjokoɯ
慰安旅行を	ian rjokoː o
慰安者	iaɴɕa
慰撫	ibɯ
慰留	iɾjɯɯ
慰藉	iɕa
慰藉料	iɕaɾjoɯ
慰謝	iɕa
慰謝	iʃa
慰謝料	iɕaɾjoɯ
慰霊	iɾei
慰霊塔	ideitoɯ
慰霊塔	iɾeitoɯ
慰霊碑	iɾeiçi
慰霊祭	iɾeisai
慴伏	ɕoɯɸɯkɯ
慶	kei
慶び	joɾokobi
慶び事	joɾokobigoto
慶ぶ	joɾokobɯ
慶事	keidʑi
慶兆	keitɕoɯ
慶喜	joɕinobu
慶安	keiaɴ
慶庵	keiaɴ
慶弔	keitɕoɯ
慶応	keioɯ
慶応三年	keioɯsaɴneɴ
慶應大学	keioɯdaigakɯ
慶應義塾大学文学部	keːoːgidʑuk udaigaku bungakubu
慶春	keiɕɯɴ
慶次郎	keidʑiroː
慶祝	keiɕɯkɯ
慶福	keiɸɯkɯ
慶良間鹿	keɾamadʑika
慶賀	keiga
慶賀使	keigaɕi
慶長	keitɕoɯ
慶長小判	keːˌtɕoːˈkobaɴ
慶雲	keiɯɴ
慶雲	kjoɯɯɴ
慷慨	koɯgai
慷慨	koːˈgai
慾	jokɯ
慾望	jokɯboɯ
憂	juː
憂	ui
憂	urei
憂	ureːru
憂い	ɯi
憂い	ɯleːi
憂い	ɯɾei
憂いを帯びた顔	ɯɾeioobitakao
憂いを抱いている	urei o idaite iru
憂い事	ɯɾeigoto
憂い悩む	ɯɾeinajamɯ
憂い顔	ɯɾeigao
憂う	ɯɾeɯ
憂う	ɯɾjoɯ
憂う	ɯ̞ɾɛʊ̞
憂うつ	jɯɯɯtsɯ
憂うべき	ɯɾeɯbeki
憂え	ɯɾee
憂える	ɯleːeɾɯ
憂える	ɯɾeeɾɯ
憂き	ɯki
憂き世	ɯkijo
憂き名	ɯkina
憂き目	ɯkime
憂き目を見る	ɯkimeomiu
憂き目を見る	ɯkimeomiɾɯ
憂き身	ɯkimi
憂き身をやつす	ɯkimiojatsɯsɯ
憂き身を窶す	ɯkimiojatsɯsɯ
憂さ	ɯsa
憂さばらし	ɯsabaɾaɕi
憂さをはらしに	ɯsaohaɾaɕini
憂さを晴らしに	ɯsaohaɾaɕini
憂さを晴らす	zɯsaoːhaɾasɯ
憂さを晴らす	ɯsaohaɾasɯ
憂さ晴らし	ɯsabaɾaɕi
憂ふ	ɯɾeɯ
憂ふ	ɯɾjoɯ
憂わしい	ɯɾeɰᵝaɕii
憂世	jɯɯsei
憂世	ɯkijo
憂事	ɯɾeigoto
憂哭	ɯkine
憂国	jɯɯ kokɯ
憂国	jɯɯkokɯ
憂国慨世	jɯɯkokɯgaisei
憂心	jɯɯɕiɴ
憂思	jɯɯɕi
憂患	jɯɯkaɴ
憂悶	jɯɯmoɴ
憂愁	jɯɯɕɯɯ
憂慮	jɯɯɾjo
憂憤	jɯɯɸɯɴ
憂懼	jɯɯkɯ
憂戚	jɯɯseki
憂晴し	ɯsabaɾaɕi
憂欝	jɯɯɯtsɯ
憂欝症	jɯɯɯtsɯɕoɯ
憂目	ɯkime
憂色	jɯɯɕokɯ
憂苦	jɯɯkɯ
憂虞	jɯɯgɯ
憂身	ɯkimi
憂鬱	jɯɯɯtsɯ
憂鬱になってしまう	ɪuːtsuni natte ɕimau
憂鬱症	jɯɯɯtsɯɕoɯ
憂鬱質	jɯɯɯtsɯɕitsɯ
憎	nikui
憎	nikumu
憎	nikuraɕiː
憎	nikuɕimi
憎	zou
憎々しい	nikɯnikɯɕii
憎い	nikɯi
憎いグレイスに着せることを考えた	nikui gureisu ni kiseru koto o kangaeta
憎い相手とは言え	nikui aitetova ie
憎くなる	nikɯkɯnaɾɯ
憎さ	nikɯsa
憎さげ	nikɯsage
憎しみ	nikɯɕimi
憎しみあう	nikɯɕimiaɯ
憎しみ合う	nikɯɕimiaɯ
憎しむ	nkɯ̟ᵝɕimɯ̟ᵝ
憎たらしい	nikɯtaɾaɕii
憎たらしい	nikɯtːaɾaɕii
憎まれっ子	nikɯmaɾekːo
憎まれっ子	nitɕi maɾekːo
憎まれっ子世に憚る	ikɯmaɾekːkojonihabakaɾɯ
憎まれっ子世に憚る	nikɯmaɾekːojonihabakaɾɯ
憎まれっ子世に憚る	nmaɾekːkojonihabataɾɯ
憎まれ口	nikɯmaɾegɯtɕi
憎まれ役	nikɯmaɾejakɯ
憎み	nikɯmi
憎み合い	nikɯmiai
憎み合う	nikɯmiaɯ
憎む	nikɯmɯ
憎む	nm
憎らしい	nikɯɾaɕii
憎らしい	nikɯɾaɕiːi
憎悪	zoɯo
憎悪犯罪	zoɯohaɴzai
憎憎しい	nikɯnikɯɕii
憎気	nikɯge
憐れ	aɰᵝaɾe
憐れみ	aɰᵝaɾemi
憐れみ深い	aɰᵝaɾemibɯkai
憐れむ	aɰᵝaɾemɯ
憐れむ	aɰᵝa̠mɯ
憐情	ɾeɴdʑoɯ
憐愍	ɾeɴbiɴ
憐憫	ɾeɴbiɴ
憑かれる	tsɯkaɾeɾɯ
憑かれる	tɕokaɾeɾɯ
憑き物	tsɯkimono
憑く	tsukɯ
憑く	tsɯkɯ
憑み	tanomi
憑む	tanomɯ
憑代	joɾiɕiɾo
憑依	çjoɯi
憑依された者は	hjoːi sa reta monova
憑坐	joɾimaɕi
憑子	joɾimaɕi
憑子	tanomoɕi
憑拠	çjoɯkjo
憑物	tsɯkimono
憔悴	ɕoɯsɯi
憖	namadʑi
憖い	namadʑii
憖っか	namadʑikːa
憚かる	habakaːɾɯ
憚り	habakaɾi
憚りながら	habakaɾinagaɾa
憚り乍ら	habakaɾinagaɾa
憚り様	habakaɾisama
憚り様	habakaɾisaɴ
憚る	habakaɾɯ
憤	fun
憤	ikidoːru
憤り	ikidooɾi
憤る	ikidooɾɯ
憤る	mɯzɯkaɾɯ
憤ろしい	ikidooɾoɕii
憤怒	ɸɯɴdo
憤怒	ɸɯɴnɯ
憤怒相をした護法善神である	funnusoː ɕi tagohoː zendʑindearu
憤悶	ɸɯɴmoɴ
憤慨	sɯgai
憤慨	ɸɯɴgai
憤懣	ɸɯɴmaɴ
憤死	ɸɯɴɕi
憤激	ɸɯɴgeki
憤然	ɸɯɴzeɴ
憤然と	ɯɴzeɴ to
憤青	ɸɯɴsei
憧	akogareru
憧	ɕou
憧れ	akogaɾe
憧れの的	akogaɾenomato
憧れる	akogaɾeɾɯ
憧憬	doɯkei
憧憬	ɕoɯkei
憧憬れる	akogaɾeɾɯ
憩	ikoi
憩	ikou
憩	kei
憩い	ikoi
憩いの	ikoino
憩いの場	ikoinoba
憩う	ikoɯ
憩う	ikoː
憩室	keiɕitsɯ
憩室炎	keiɕitsɯeɴ
憫れ	aɰᵝaɾe
憫察	biɴsatsɯ
憫然	biɴzeɴ
憫笑	biɴɕoɯ
憫諒	biɴɾjoɯ
憬	kei
憬れ	akogaɾe
憬れる	akogaɾeɾɯ
憮然	bɯzeɴ
憮然として	bɯzeɴtoɕite
憲	ken
憲	teɴ
憲久	norihisa
憲俊	noritoɕi
憲兵	keɴpei
憲兵隊	keɴpeitai
憲房	norifusa
憲政	keɴsei
憲政の危機が始まったのは	kenseːn okiki ga hadʑimatt anova
憲法	keɴpoɯ
憲法上	keɴpoɯdʑoɯ
憲法上の権利	keɴpoɯdʑoɯnokeɴɾi
憲法十七条	keɴpoɯdʑɯɯɕitɕidʑoɯ
憲法学	keɴpoɯgakɯ
憲法学者	keɴpoɯgakɯɕa
憲法改正	keɴpoɯkaisei
憲法第９条	keɴpoɯdaikjɯɯdʑoɯ
憲法裁判所	keɴpoɯsaibaɴɕo
憲法規範	keɴpoɯkihaɴ
憲法解釈	keɴpoɯkaiɕakɯ
憲法記念日	keɴpoɯkineɴbi
憲法違反	keɴpoɯihaɴ
憲秀	norihide
憲章	keɴɕoɯ
憶	oku
憶う	omoɯ
憶える	oboeɾɯ
憶念	okɯneɴ
憶断	okɯdaɴ
憶測	okɯsokɯ
憶病	okɯbjoɯ
憶見	okːeɴ
憶説	okɯsetsɯ
憾	kan
憾み	ɯɾami
憾み	ʊˈɾami
憾む	ɯɾamɯ
憾むらくは	oɯlamɯrakɯva
憾むらくは	ɯɾamɯɾakua
憾むらくは	ɯɾamɯɾakɯha
懇	kon
懇	nemokoɾo
懇	nengoro
懇	neɴgoɾo
懇々	koɴkoɴ
懇ろ	nemokoɾo
懇ろ	neɴgoɾo
懇ろになる	neɴgoɾoninaɾɯ
懇ろに付き合う	nengoro ni tsukiau
懇切	koɴsetsɯ
懇切な	koɴsetsɯ na
懇切丁寧	koɴsetsɯteinei
懇到	koɴtoɯ
懇命	koɴmei
懇情	koɴdʑoɯ
懇意	koɴi
懇意にすることが多い	koni ni suru koto ga oːi
懇意になる	koɴi naɾɯ
懇意になる	koɴininaɾɯ
懇懇	koɴkoɴ
懇書	koɴɕo
懇望	koɴboɯ
懇望	koɴmoɯ
懇篤	koɴsokɯ
懇篤	koɴtokɯ
懇親	koɴɕiɴ
懇親	koɴ˥˥sɯ˥˥
懇親会	koɴɕiɴkai
懇話	koɴɰᵝa
懇話会	koɴɰᵝakai
懇談	koɴdaɴ
懇談会	koɴdaɴkai
懇請	koɴsei
懇願	koŋgaɴ
懇願	koɴgaɴ
懈い	daɾɯi
懈い	taɾɯi
懈怠	getai
懈怠	kaitai
懈怠	ketai
應需	oɯdʑɯ
懊悩	oɯnoɯ
懊悩煩悶	oɯnoɯhaɴmoɴ
懐	futokoro
懐	kai
懐	natsukaɕimu
懐	natsukaɕiː
懐	natsukeru
懐	natsuku
懐	ɸɯtokoɾo
懐う	omoɯ
懐かし	natsɯkaɕi
懐かしい	natsɯkaɕii
懐かしい	natsɯkaɕiː
懐かしがる	natsɯkaɕigaɾɯ
懐かしく	natsɯkaɕikɯ
懐かしのメロディ	natsɯkaɕinomeɾodei
懐かしむ	natsɯkaɕimɯ
懐かしむ	natsɯkaɕmɯ
懐が寂しい	ɸɯtokoɾogasabiɕii
懐が寒い	ɸɯtokoɾogasamɯi
懐が暖かい	ɸɯtokoɾogaatatakai
懐が暖かい	ɸɯtokoɾogaatːakai
懐が淋しい	ɸɯtokoɾogasabiɕii
懐が深い	ɸɯtokoɾogaɸɯkai
懐が痛む	ɸɯtokoɾogaitamɯ
懐く	idakɯ
懐く	natsɯkɯ
懐く	nazɯkɯ
懐く	ɯdakɯ
懐ける	natsɯkeɾɯ
懐こい	natsɯkoi
懐しい	jɯkaɕii
懐っこい	natsɯkːoi
懐にする	ɸɯtokoɾonisɯɾɯ
懐に入る	ɸɯtokoɾonihaiɾɯ
懐の深い	ɸɯtokoɾonoɸɯkai
懐を痛める	ɸɯtokoɾooitameɾɯ
懐を肥やす	ɸɯtokoɾookojasɯ
懐メロ	natsɯmeɾo
懐中	kaitɕɯɯ
懐中時計	kaitɕɯɯdokei
懐中時計	kaitɕɯɯtokei
懐中物	kaitɕɯɯmono
懐中鏡	kaitɕɯɯkagami
懐中電灯	kaitɕɯɯdeɴtoɯ
懐中電燈	kaitɕɯɯdeɴtoɯ
懐具合	ɸɯtokoɾogɯai
懐刀	ɸɯtokoɾogatana
懐剣	kaikeɴ
懐勘定	ɸɯtokoɾokaɴdʑoɯ
懐古	kaiko
懐古する	kaikoːsɯɾɯ
懐古的	kaekoteki
懐古的	kaikoteki
懐古趣味	kaikoɕɯmi
懐古趣味	kaikoɕɯmj
懐妊	kainiɴ
懐工合	ɸɯtokoɾogɯai
懐手	ɸɯtokoɾde
懐手	ɸɯtokoɾode
懐抱	kaihoɯ
懐旧	kaikjɯɯ
懐旧	kai̥kjɯɯ̟ᵝ
懐旧談	kaikjɯɯdaɴ
懐柔	kaidʑɯɯ
懐柔される	kaidʑɯɯ saɾe ɾɯ
懐柔される	kaidʑɯɯ saɾeɾɯ
懐柔作戦	kaidʑɯɯsakɯseɴ
懐柔的な	kaidʑɯɯ teki na
懐柔策	kaidʑɯɯsakɯ
懐炉	kaiɾo
懐炉灰	kaiɾobai
懐疑	kaigi
懐疑主義	kaigiɕɯgi
懐疑主義者	kaigiɕɯgiɕa
懐疑心	kaigiɕiɴ
懐疑派	kaigiha
懐疑論	kaigiɾoɴ
懐石	kaiseki
懐石	kai̥seki
懐石料理	kaisekirjoɯɾi
懐石料理	kaisekiɾjoɯɾi
懐紙	kaiɕi
懐紙	ɸɯtokoɾogami
懐胎	kaitai
懐郷	kaikjoɯ
懐郷病	kaikjoɯbjoɯ
懐都合	ɸɯtokoɾotsɯgoɯ
懐銭	ɸɯtokoɾozeni
懐香	kɯɾenoomo
懦弱	dadʑakɯ
懲	korasu
懲	koraɕimeru
懲	koriru
懲	tɕou
懲しめる	koɾaɕimeɾɯ
懲らしめ	koɾaɕime
懲らしめる	koɾaɕimeɾɯ
懲らす	koɾasɯ
懲り	koˈri
懲りない	koɾinai
懲りない	koɾinaik
懲りないやつ	koɾinaijatsɯ
懲りない奴	koɾinaijatsɯ
懲りる	aɾiɾɯ
懲りる	koɾiɾɯ
懲り懲り	koɾigoɾi
懲役	tɕoɯeki
懲役刑	tɕoɯekikei
懲役２年の判決に	tɕoːeki ni nen no hanketsu ni
懲悪	tɕoɯakɯ
懲戒	tɕoɯkai
懲戒免	tɕoɯkaimeɴ
懲戒免官	tɕoɯkaimeɴkaɴ
懲戒免職	tɕoɯkaimeɴɕokɯ
懲戒処分	tɕoɯkaiɕobɯɴ
懲戒請求	tɕoɯkaiseikjɯɯ
懲治監	tɕoɯdʑikaɴ
懲罰	tɕoɯ batsɯ
懲罰	tɕoɯbatsɯ
懲罰委員会	tɕoɯbatsɯiiɴkai
懲罰房	tɕoɯbatsɯboɯ
懶	monogɯsa
懶い	monogɯsai
懶い	monoi
懶い	monoɯi
懶ける	namakeɾɯ
懶け者	namakemono
懶げ	monoɯge
懶惰	ɾaida
懶惰	ɾaɴda
懶熊	namakegɯma
懷	ɸɯtokoɾo
懸	gake
懸	kakaru
懸	kake
懸	kakeru
懸	ken
懸かり	kakaɾi
懸かる	kakaɾɯ
懸け	gake
懸け	kake
懸ける	kakeɾɯ
懸け合い	kakeai
懸け巣	kakesɯ
懸け橋	kakehaɕi
懸け物	kakemono
懸け紙	kakegami
懸け詞	kakekotoba
懸け隔たる	kakehedataɾɯ
懸け隔てる	kakehedateɾɯ
懸け離れる	kakehanaɾeɾɯ
懸り	kakaɾi
懸る	kakaɾɯ
懸仏	kakebotoke
懸合	kakeai
懸合い	kakeai
懸吊	keɴtɕoɯ
懸命	keɴmei
懸命な	teɴmeina
懸垂	keɴsɯ
懸垂	keɴsɯi
懸垂する	keɴsɯisɯɾɯ
懸垂式	keɴsɯiɕiki
懸垂曲線	keɴsɯikjokɯseɴ
懸垂線	keɴsɯiseɴ
懸垂運動	keɴsɯiɯɴdoɯ
懸壅垂	keɴjoɯsɯi
懸崖	keɴgai
懸巣	kakesɯ
懸引き	kakeçiki
懸念	ke nẽŋ
懸念	keneŋ
懸念	keneɴ
懸念	kennæ
懸念	kɛˈnɛn
懸念材料	keneɴzaiɾjoɯ
懸想	kesoɯ
懸想文	kesoɯbɯmi
懸架	keɴga
懸架	keɴka
懸案	keɴaɴ
懸案	kẽ˥˥nan˧˥
懸橋	kakehaɕi
懸濁	keɴdakɯ
懸濁液	keɴdakɯeki
懸物	kakemono
懸獨	keɴdakɯ
懸紙	kakegami
懸絶	keɴzetsɯ
懸腕	keɴɰᵝaɴ
懸腕直筆	keɴɰᵝaɴtɕokɯçitsɯ
懸詞	kakekotoba
懸賞	keɴɕoɯ
懸賞問題	keɴɕoɯmoɴdai
懸賞論文	keɴɕoɯɾoɴbɯɴ
懸賞金	keɴɕoɯkiɴ
懸軍	keɴgɯɴ
懸軍万里	keɴgɯɴbaɴɾi
懸軍長駆	keɴgɯɴtɕoɯkɯ
懸鉤子	kiitɕigo
懸隔	keɴkakɯ
懸隔たる	kakehedataɾɯ
懸隔てる	kakehedateɾɯ
懸離れる	kakehanaɾeɾɯ
懸魚	gegjo
懺悔	saɴge
懺悔	zaɴge
懺法	seɴboɯ
懼る	osoɾɯ
懼れ	sore
懼れる	osoɾeɾɯ
懼れる	soɯɾeɾɯ
懾伏	ɕoɯɸɯkɯ
懾服	ɕoɯɸɯkɯ
戀	koi
戀する	koisɯɾɯ
戈	hoko
戈	ka
戈を収める	hokooosameɾɯ
戈旁	hokozɯkɯɾi
戈構え	hokogamae
戉（まさかり）	masakaɾi
戊	bo
戊	tsɯtɕinoe
戊午	bogo
戊午	tsɯtɕinoeɯma
戊夜	boja
戊子	boɕi
戊子	tsɯtɕinoene
戊寅	boiɴ
戊寅	tsɯtɕinoetoɾa
戊戌	bodʑɯtsɯ
戊申	boɕiɴ
戊申	tsɯtɕinoesaɾɯ
戊申詔書	boɕiɴɕoɯɕo
戊種	boɕɯ
戊辰	boɕiɴ
戊辰戦争	boɕiɴseɴsoɯ
戌	inɯ
戌亥	inɯi
戌年	inɯdoɕi
戍る	mamoɾɯ
戍卒	dʑɯsotsɯ
戎	ebisɯ
戎克	dʑaɴkɯ
戎葵	dʑɯɯki
戎講	ebisɯkoɯ
成	naru
成	nasu
成	sei
成さしめる	nasaɕimeɾɯ
成しうる	naɕiɯɾɯ
成しえる	naɕieɾɯ
成し得る	naɕieɾɯ
成し得る	naɕiɯɾɯ
成し遂げる	naɕitogeɾɯ
成す	nasɯ
成す	nˈɔs
成す角	nasɯkakɯ
成って	nate
成っていない	natːeinai
成ってない	natːenai
成らしめる	naɾaɕimeɾɯ
成らなかった	naɾana katːa
成らぬ堪忍するが堪忍	naɾanɯkaɴniɴsɯɾɯgakaɴniɴ
成り	naɾi
成りかけ	naɾi̥kake
成りきる	naɾikiɾɯ
成りすまし	naɾisɯmaɕi
成りすます	naɾimasɯ
成りすます	naɾisɯmasɯ
成り丈	naɾitake
成り上がり	naɾiagaɾi
成り上がり者	naɾiagaɾimono
成り上がり者は	nariagarimonova
成り上がる	naɾiagaɾɯ
成り上る	naɾiagaɾɯ
成り下がる	naɾisagaɾɯ
成り下る	naɾisagaɾɯ
成り代わる	naɾikaɰᵝaɾɯ
成り切る	naɾikiɾɯ
成り切る	naɾikkiɾɯ
成り変わる	naɾikaɰᵝaɾɯ
成り手	naɾite
成り手	nˈaɾite
成り掛かる	naɾikakaɾɯ
成り掛ける	naɾikakeɾɯ
成り掛る	naɾikakaɾɯ
成り木責め	naɾikizeme
成り果てる	naɾihateɾɯ
成り済まし	naɾisɯmaɕi
成り済ます	naɾisɯmasɯ
成り立ち	naɾitatɕi
成り立ち	naɾitatʃi
成り立つ	naɾitatsɯ
成り行き	naɾijɯki
成り行きに任せる	naɾijɯkinimakaseɾɯ
成り行き任せ	naɾijɯkimakase
成り行き注文	naɾijɯkitɕɯɯmoɴ
成り角	naɾikakɯ
成り込む	naɾikomɯ
成り金	naɾikiɴ
成り駒	naɾi koma
成り駒	naɾikoma
成る	naɾɯ
成るたけ	naɾɯtake
成るべく	naɾɯbe
成るべく	naɾɯbekɯ
成るべくして	naɾɯkɯɕite
成るように成る	naɾɯjoɯninaɾɯ
成る丈	naɾɯdake
成る丈	naɾɯtake
成る可く	naɾɯbekɯ
成る可く	naɾɯkikɯ
成る様にしか成らない	naɾɯjoːniɕikanaɾanai
成る様に成る	naɾɯjoɯninaɾɯ
成る程	naɾɯhodo
成れの果て	naɾenohate
成れる	naɾeɾɯ
成ろう事なら	naɾoɯkotonaɾa
成ろう事なら	naɾoːkotonaɾa
成丈	naɾitake
成上がる	naɾiagaɾɯ
成上り	naɾiagaɾi
成下がる	naɾisagaɾɯ
成下る	naɾisagaɾɯ
成人	seidʑiɴ
成人	seː dʑiɴ
成人の日	seidʑiɴnoçi
成人式	seidʑiɴɕiki
成人式	seidʑiɴɕikj
成人式	seidʑiɴɕikɯ
成人式	seidʑiɴɕikːi
成人後	seː dʑiɴgo
成人指定	seidʑiɴɕitei
成人教育	seidʑiɴkjoɯikɯ
成人映画	seidʑiɴeiga
成人病	seidʑiɴbjoɯ
成人病	seidʑiɴbjoɯo
成仏	dʑoɯbɯtsɯ
成仏	ʑoːbɯtsɯ
成仏する	dʑoɯbɯtsɯ sɯɾɯ
成仏できそう	gjoɯ bɯtsɯ dekisoɯ
成体	seitai
成体にまで成長するのはごく少数とされている	seːtai ni made seitɕoː surunova goku ɕoːsuː to sa rete iru
成典	seiteɴ
成分	seibɯɴ
成分	sejbun
成分名	seibɯɴmei
成分表示	seibɯɴ çjoɯdʑi
成功	seikoo
成功	seikoɯ
成功	seikoːː
成功	seikoː˩˦
成功か	seːkoː ka
成功した	seːkoːɕita
成功してもしなくても	seːkoː ɕite mo ɕinakute mo
成功しました	seːkoː ɕimaɕita
成功するために	seːkoːsɯɾɯtameni
成功に向かう	seːkoɯnimɯkaɯ
成功のカギ	seikoɯnokagi
成功の暁には	seikoɯnoakatsɯkiniha
成功の鍵	seikoɯnokagi
成功を収める	seikoɯoosameɾɯ
成功を望む	seikoɯonozomɯ
成功体験	seːkoːtaikeɴ
成功報酬	seikoɯhoɯɕɯɯ
成功度	seikoɯdo
成功感	seːkoːkaɴ
成功率	seikoɯɾitsɯ
成功率	seːkoɯɾitsɯ
成功者	seikoɯɕa
成功者	seːˈkoɯ̟ᵝɕa
成功裏	seikoɯɾi
成功裡	seikoɯɾi
成劫	dʑoɯgoɯ
成劫	dʑoɯkoɯ
成務	seːmu
成句	seikɯ
成句	seːkɯ
成吉思汗	dʑiɴgisɯkaɴ
成吉思汗料理	dʑiɴgisɯkaɴɾjoɯɾi
成吉思汗鍋	dʑiɴgisɯkaɴnabe
成否	seiçi
成員	seiiɴ
成因	seiiɴ
成因	seːin
成型	seikei
成型する	seːkei sɯɾɯ
成城学園前	seidʑoɯgakɯ eɴ mai
成城石井	seidʑoɯ iɕi
成女	seidʑo
成婚	seikoɴ
成学	seːgakɯ
成就	dʑoɯdʑɯ
成層	seisoɯ
成層	seːsoː
成層圏	seisoɯkeɴ
成層圏	seiso˥˩keɴ
成層火山	seisoɯkazaɴ
成年	seineɴ
成年式	seineɴɕiki
成年後見人	seineɴkoɯkeɴniɴ
成年者	seineɴɕa
成年被後見人	seineɴçikoɯkeɴniɴ
成幼虫	seijoɯtɕɯɯ
成形	seikei
成形手術	seikeiɕɯdʑɯtsɯ
成手	naɾite
成敗	seibai
成敗	seihai
成文	seibɯɴ
成文化	seibɯɴka
成文律	seibɯɴɾitsɯ
成文憲法	seibɯɴkeɴpoɯ
成文法	seibɯɴhoɯ
成書	seiɕo
成木責	naɾikizeme
成木責め	naɾikizeme
成果	seika
成果	sejka
成果	se˩˥ːka˥˩
成果	sɛka
成果てる	naɾihateɾɯ
成果を収める	seikaoosameɾɯ
成果を収める	seːkaoosameɾɯ
成果を引き継ぐべく	seːkaohikitsɯgɯbekɯ
成果主義	seikaɕɯgi
成果主義	seːkaɕɯgi
成果主義賃金体系	seikaɕɯgitɕiɴgiɴtaikei
成果物	seikabɯtsɯ
成桂	naɾikei
成案	seiaɴ
成業	seigjoɯ
成熟	seidʑɯ
成熟	seidʑɯkɯ
成熟した大人の女が醸し出す魅惑的な雰囲気と	seːdʑuku ɕita otona no onna ga kamoɕidasu mivaku tekina huniki to
成熟の印である	seːdʑuku no ɕiruɕidearu
成熟分裂	seidʑɯkɯbɯɴɾetsɯ
成熟度	seidʑɯkɯdo
成熟度	seidʑɯkɯdɯ
成熟期	seidʑɯkɯki
成犬	seikeɴ
成田	naɾita
成田に到着した	narita ni toːtɕaku ɕita
成田をたってパリに向かった	narita o tatte pari ni mukatta
成田を有名にした	narit ao ɪuːmeːn iɕi ta
成田離婚	naɾitaɾikoɴ
成程	naɾɯhodo
成空	seikɯɯ
成立	seiɾitsɯ
成立	seːɾitsɯ
成立する	seioasɯɾɯ
成立ち	naɾitatɕi
成立つ	naɾitatsɯ
成算	seisaɴ
成算がある	seisaɴgaɾɯaɾɯ
成約	seijakɯ
成績	seiseki
成績	seːseki
成績はよかったり悪かったりです	seiseki va jkaatːaɾiɰᵝaɾɯka tːaɾidesɯ
成績不振	seisekiɸɯɕiɴ
成績優秀者	seisekijɯɯɕɯɯɕa
成績書	seisekiɕo
成績表	seisekiçjoɯ
成績証明	seiseki ɕoɯme
成績証明書	seisekiɕoɯmeiɕo
成育	seiikɯ
成虫	seitɕɯɯ
成行	naɾijɯki
成行き	naɾijɯki
成行き任せ	naɾijɯkimakase
成行き注文	naɾijɯkitɕɯɯmoɴ
成行注文	naɾijɯkitɕɯɯmoɴ
成語	seigo
成道	dʑoɯdoɯ
成道会	dʑoɯdoɯe
成都	sejto
成都	seː to
成金	naɾikiɴ
成金出身でかなりのお嬢様だが	narikin ɕuɕɕinde kanari no odʑoːsamadaga
成金趣味	naɾikiɴɕɯmi
成銀	naɾigiɴ
成長	seidʑoɯ
成長	seitɕoɯ
成長し続ける	seitɕoɯ oɕitsɯzɯkeɾɯ
成長する	seikjoɯsɯɾɯ
成長する	seitʃoɯsɯɾɯ
成長するための空間が	seːtɕoːsu ru tame no kuːkan ga
成長する中で	seitɕoː suru naka de
成長と名目成長率の差は	seːtɕoː to meːmoku seːtɕoː ritsu no sava
成長を阻む	seitɕoɯohabamɯ
成長ホルモン	seitɕoɯhoɾɯmoɴ
成長予測	seitɕoɯjosokɯ
成長事業	seitɕoɯdʑigjoɯ
成長促進	seitɕoɯsokɯɕiɴ
成長小説	seitɕoɯɕoɯsetsɯ
成長市場	seitɕoɯɕidʑoɯ
成長戦略	seitɕoɯseɴɾjakɯ
成長曲線	seitɕoɯkjokɯseɴ
成長期	seitɕoɯki
